상품코드,상품명,방송샘플실 SKU코드,COLOR,SIZE,추가속성,총재고,로케이션
1049693102,[직]비비안 컴포트1차,104969310200401,핑크,브라,None,4,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200402,크림,브라,None,4,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200403,스킨,브라,None,4,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200404,블랙,브라,None,4,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200405,핑크,팬티,None,3,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200406,크림,팬티,None,3,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200407,스킨,팬티,None,3,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200408,블랙,팬티,None,3,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200409,핑크,원단,None,2,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200410,크림,원단,None,1,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200411,스킨,원단,None,1,렉G04-01
1049693102,[직]비비안 컴포트1차,104969310200412,블랙,원단,None,2,렉G04-01
1063315007,델시 화물용+기내용 9종세트,106331500700101,그레이 화물형,캐리어,None,3,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700102,그레이 기내형,캐리어,None,3,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700103,블랙 백팩,일반,None,12,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700104,화물형 커버,일반,None,12,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700105,5종 파우치,일반,None,12,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700201,실버 화물형,캐리어,None,3,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700202,실버 기내형,캐리어,None,3,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700301,레드 화물형,캐리어,None,3,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700302,레드 기내형,캐리어,None,3,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700401,화이트 화물형,캐리어,None,3,지하4층
1063315007,델시 화물용+기내용 9종세트,106331500700402,화이트 기내형,캐리어,None,3,지하4층
1063329081,델시 특대형 화물용 캐리어 2종,106332908100101,티타늄 그레이,캐리어,None,3,지하4층
1063329081,델시 특대형 화물용 캐리어 2종,106332908100102,화물형 커버,일반,None,6,지하4층
1063329081,델시 특대형 화물용 캐리어 2종,106332908100201,라이트 실버,캐리어,None,3,지하4층
1068420612,쏘울 알파카 울 니트 백,106842061200101,그레이,일반,None,1,지하4층
1068420612,쏘울 알파카 울 니트 백,106842061200201,딥브라운,일반,None,1,지하4층
1068420612,쏘울 알파카 울 니트 백,106842061200301,핑크,일반,None,1,지하4층
1068420612,쏘울 알파카 울 니트 백,106842061200401,네이비,일반,None,1,지하4층
1068659687,MORGAN 핸드메이드 케이프코트,106865968700102,블랙,55,,1,지하4층
1068659687,MORGAN 핸드메이드 케이프코트,106865968700107,모카브라운,55,,1,지하4층
1068659687,MORGAN 핸드메이드 케이프코트,106865968700112,버터베이지,55,,1,지하4층
1069445359,라삐아프 테이퍼드팬츠 3종,106944535900101,블랙,55,,1,지하4층
1069445359,라삐아프 테이퍼드팬츠 3종,106944535900104,크림,55,,1,지하4층
1069445359,라삐아프 테이퍼드팬츠 3종,106944535900107,에토프,55,,1,지하4층
1069445359,라삐아프 테이퍼드팬츠 3종,106944535900110,블루,55,,1,지하4층
1070042335,MORGAN 트리아세테이트 재킷(프),107004233500102,블랙,55,,1,지하4층
1070042335,MORGAN 트리아세테이트 재킷(프),107004233500106,그레이,55,,1,지하4층
1070043587,MORGAN 트위드 베스트 1종,107004358700101,블랙,55,,1,지하4층
1070043587,MORGAN 트위드 베스트 1종,107004358700104,베이지,55,,1,지하4층
1070043587,MORGAN 트위드 베스트 1종,107004358700107,블루,55,,1,지하4층
1071291840,라삐아프 배기핏 데님 3종,107129184000101,화이트,55,,1,지하4층
1071291840,라삐아프 배기핏 데님 3종,107129184000106,베이지,55,,1,지하4층
1071291840,라삐아프 배기핏 데님 3종,107129184000111,인디고,55,,1,지하4층
1071291840,라삐아프 배기핏 데님 3종,107129184000116,블랙,55,,1,지하4층
1071302142,라삐아프 카울넥 블라우스 3종,107130214200101,블랙,55,,1,지하4층
1071302142,라삐아프 카울넥 블라우스 3종,107130214200104,베이지,55,,1,지하4층
1071302142,라삐아프 카울넥 블라우스 3종,107130214200107,에토프,55,,1,지하4층
1071302142,라삐아프 카울넥 블라우스 3종,107130214200110,핑크,55,,1,지하4층
1073382424,에버콜라겐 레티놀A19병(76주분),107338242400101,일반,일반,,1,렉D01-01
1073418728,AM_시스루원피스1종,107341872800101,블랙,S,,5,지하4층
1073418728,AM_시스루원피스1종,107341872800102,블랙,S+3,,1,지하4층
1073418728,AM_시스루원피스1종,107341872800103,블랙,모델S,,1,지하4층
1073418728,AM_시스루원피스1종,107341872800104,아이보리,S,,5,지하4층
1073418728,AM_시스루원피스1종,107341872800105,아이보리,S+3,,1,지하4층
1073418728,AM_시스루원피스1종,107341872800106,아이보리,모델S,,1,지하4층
1073418728,AM_시스루원피스1종,107341872800107,베이지,S,,5,지하4층
1073418728,AM_시스루원피스1종,107341872800108,베이지,S+3,,1,지하4층
1073418728,AM_시스루원피스1종,107341872800109,베이지,모델S,,1,지하4층
1073770989,라삐아프 크리즈 팬츠 3종,107377098900101,블랙,55,,1,지하4층
1073770989,라삐아프 크리즈 팬츠 3종,107377098900103,아이보리,55,,1,지하4층
1073770989,라삐아프 크리즈 팬츠 3종,107377098900105,에토프,55,,1,지하4층
1073770989,라삐아프 크리즈 팬츠 3종,107377098900107,블루,55,,1,지하4층
1073771300,라삐아프 크리즈 풀오버 3종,107377130000101,블랙,55,,1,지하4층
1073771300,라삐아프 크리즈 풀오버 3종,107377130000104,아이보리,55,,1,지하4층
1073771300,라삐아프 크리즈 풀오버 3종,107377130000107,에토프,55,,1,지하4층
